
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      13.27              0.95             17.84        1000
16                     13.26              0.96             17.82        1000
32                     13.25              0.97             17.84        1000
64                     13.23              0.97             17.80        1000
128                    13.99              0.98             19.28        1000
256                    17.44              4.62             21.60        1000
512                    17.84              4.64             22.08        1000
1024                   18.85              4.75             23.54        1000
2048                   21.63              4.96             28.09        1000
4096                   28.42              5.14             38.27        1000
8192                   54.28              7.32             72.65        1000
16384                  60.54              6.06            119.28         100
32768                 141.05             10.04            214.32         100
65536                 279.04             31.72            462.19         100
131072                548.50             55.72            921.98         100
262144               1080.00            104.58           1830.52         100
524288               2121.03            194.72           3647.20         100
1048576              4246.28            380.28           7320.62         100
2097152              8576.34            769.47          14789.07         100
4194304             17266.52           1525.02          29812.84         100
8388608             34571.03           3031.87          59432.98         100
16777216            70209.27           6073.05         119989.20         100
33554432           141076.96          12246.17         241645.62         100
67108864           283470.78          24955.89         484856.02         100
