
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.24              0.34             26.26        1000
16                      4.22              0.33             26.12        1000
32                      4.20              0.33             26.12        1000
64                      4.22              0.33             26.24        1000
128                     4.33              0.33             27.07        1000
256                     7.99              3.28             30.30        1000
512                     8.21              3.37             30.93        1000
1024                    8.99              3.75             32.53        1000
2048                   12.08              4.89             38.16        1000
4096                   20.15              5.46             51.93        1000
8192                   47.01             14.55             96.39        1000
16384                  90.36             19.41            167.19         100
32768                 158.50             22.19            302.82         100
65536                 284.47             22.19            569.73         100
131072                611.17             44.84           1261.33         100
262144               1301.36             50.16           2561.35         100
524288               2341.17             64.10           4775.00         100
1048576              4726.85            127.26           9638.71         100
2097152              9881.97            380.15          20031.33         100
4194304             21360.22            535.90          42291.52         100
8388608             44656.41            835.10          86575.98         100
16777216            85864.28           7596.16         167557.42         100
33554432           182685.88           4165.55         361007.16         100
67108864           373509.04           3773.56         712483.07         100
