
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.57              0.65             26.81        1000
16                      4.53              0.64             26.75        1000
32                      4.54              0.64             26.76        1000
64                      4.54              0.64             26.81        1000
128                     4.69              0.65             27.89        1000
256                     8.07              3.34             30.81        1000
512                    36.13             29.19             58.49        1000
1024                   37.00             29.89             58.12        1000
2048                   44.26             34.34             64.73        1000
4096                   60.56             49.04             92.56        1000
8192                   82.78             62.95            111.58        1000
16384                 146.26            132.77            194.10         100
32768                 300.93            289.96            346.60         100
65536                 576.00            565.25            638.70         100
131072               1213.60           1199.72           1272.17         100
262144               2429.18           2416.15           2487.46         100
524288               4983.12           4955.70           5079.92         100
1048576             10488.97          10436.07          10658.01         100
2097152             23112.85          23027.01          23428.74         100
4194304             49051.05          48920.54          49675.67         100
8388608            101550.13         101234.16         102793.16         100
16777216           203080.64         202486.53         205586.19         100
33554432           411425.43         410272.74         416471.62         100
67108864           830253.82         827946.67         840388.99         100
