
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.57              0.64             26.75        1000
16                      5.77              0.62             29.27        1000
32                      4.55              0.61             26.76        1000
64                      4.56              0.62             26.85        1000
128                     4.71              0.63             27.97        1000
256                     8.07              3.30             30.80        1000
512                    36.14             29.28             58.64        1000
1024                   37.02             30.01             58.20        1000
2048                   43.10             34.70             65.03        1000
4096                   59.77             45.60             90.99        1000
8192                   82.99             64.07            112.08        1000
16384                 150.80            133.41            195.63         100
32768                 305.97            294.40            364.52         100
65536                 581.77            572.09            636.46         100
131072               1223.71           1214.15           1274.90         100
262144               2435.11           2419.86           2493.31         100
524288               4955.38           4929.32           5055.06         100
1048576             10463.61          10407.37          10658.68         100
2097152             23011.74          22936.34          23324.83         100
4194304             48655.61          48511.75          49277.83         100
8388608            100670.61         100390.32         101910.86         100
16777216           202316.80         201730.99         204817.96         100
33554432           410175.53         409023.53         415197.53         100
67108864           830508.65         828154.12         840664.64         100
