
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      13.16              0.94             17.63        1000
16                     13.20              0.95             17.76        1000
32                     13.16              0.95             17.69        1000
64                     13.20              0.95             17.73        1000
128                    13.95              0.96             19.23        1000
256                    17.79              4.65             21.87        1000
512                    17.87              4.67             22.11        1000
1024                   18.79              4.78             23.41        1000
2048                   21.58              5.00             27.90        1000
4096                   28.43              5.15             38.24        1000
8192                   53.82              7.43             72.08        1000
16384                  60.61              6.34            119.06         100
32768                 141.09              9.70            214.32         100
65536                 278.68             31.64            461.64         100
131072                543.20             55.33            915.87         100
262144               1076.30            104.32           1784.96         100
524288               2134.97            199.12           3653.44         100
1048576              4268.84            388.14           7358.79         100
2097152              8621.20            779.90          14864.94         100
4194304             17294.91           1525.21          29821.16         100
8388608             34617.78           3061.12          59462.25         100
16777216            70334.33           6148.86         120073.70         100
33554432           141377.33          12391.47         242652.36         100
67108864           283550.47          24699.48         485720.96         100
