
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      13.19              0.95             17.69        1000
16                     13.23              0.96             17.72        1000
32                     13.15              0.94             17.63        1000
64                     13.25              0.94             17.74        1000
128                    13.95              0.96             19.22        1000
256                    17.44              4.63             21.57        1000
512                    17.84              4.65             22.12        1000
1024                   18.79              4.74             23.44        1000
2048                   21.51              4.97             27.84        1000
4096                   28.26              5.15             37.97        1000
8192                   53.87              7.20             71.99        1000
16384                  60.51              6.17            118.71         100
32768                 140.97              9.71            215.05         100
65536                 279.52             31.49            464.14         100
131072                544.05             55.69            919.17         100
262144               1073.07            103.53           1836.01         100
524288               2127.07            195.71           3671.17         100
1048576              4264.81            389.50           7362.11         100
2097152              8606.06            775.84          14840.94         100
4194304             17305.21           1532.04          29885.27         100
8388608             34574.88           3072.05          59370.59         100
16777216            70403.88           6153.83         120421.02         100
33554432           141270.93          12351.25         242255.05         100
67108864           283345.68          24764.73         484009.05         100
