
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      13.26              0.99             17.80        1000
16                     13.28              1.01             17.80        1000
32                     13.21              0.98             17.72        1000
64                     13.29              0.97             17.88        1000
128                    13.93              0.98             19.27        1000
256                    17.46              4.61             21.65        1000
512                    17.84              4.66             22.14        1000
1024                   18.79              4.73             23.46        1000
2048                   22.26              4.94             30.69        1000
4096                   28.33              5.13             38.16        1000
8192                   53.64              7.39             71.87        1000
16384                  61.08              6.21            119.30         100
32768                 140.81              9.77            214.04         100
65536                 278.61             31.87            462.34         100
131072                543.33             55.95            912.10         100
262144               1074.53            104.79           1816.80         100
524288               2124.21            198.07           3652.62         100
1048576              4262.51            384.29           7320.25         100
2097152              8593.44            771.37          14779.55         100
4194304             17258.24           1522.05          29701.16         100
8388608             34553.25           3039.03          59221.12         100
16777216            70054.84           6084.85         119888.13         100
33554432           140727.78          12188.87         239919.14         100
67108864           283125.65          24754.39         484279.61         100
