
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.67              3.39             19.54        1000
16                      8.65              3.38             19.51        1000
32                      8.57              3.38             19.40        1000
64                      8.66              3.42             19.56        1000
128                     8.96              3.48             20.44        1000
256                    12.79              6.24             23.13        1000
512                    13.08              6.26             23.58        1000
1024                   13.70              6.37             24.58        1000
2048                   15.76              6.59             28.02        1000
4096                   22.27              6.78             38.08        1000
8192                   43.32              9.77             69.76        1000
16384                  77.05             12.08            119.00         100
32768                 137.86             18.87            216.24         100
65536                 255.86             29.77            408.74         100
131072                493.37             49.58            800.05         100
262144                952.48             90.18           1546.34         100
524288               1884.18            172.20           3072.35         100
1048576              3813.86            338.18           6202.50         100
2097152              7777.36            670.59          12685.29         100
4194304             15740.55           1340.58          25658.89         100
8388608             31560.62           2675.61          51440.15         100
16777216            63474.08           5379.95         103313.34         100
33554432           128065.74          10837.65         208259.25         100
67108864           258296.67          22747.65         419357.91         100
