
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      13.94              0.98             20.99        1000
16                     13.24              0.98             17.80        1000
32                     13.15              0.97             17.67        1000
64                     13.25              0.97             17.72        1000
128                    13.98              0.98             19.27        1000
256                    17.43              4.62             21.56        1000
512                    17.84              4.67             22.10        1000
1024                   18.78              4.75             23.45        1000
2048                   21.54              4.99             27.85        1000
4096                   28.41              5.14             37.98        1000
8192                   54.31              7.27             72.35        1000
16384                  60.70              6.16            119.22         100
32768                 141.23              9.87            213.80         100
65536                 279.77             31.80            463.29         100
131072                545.58             55.90            913.38         100
262144               1078.52            105.21           1794.43         100
524288               2124.53            196.60           3661.26         100
1048576              4263.82            387.41           7367.46         100
2097152              8610.09            776.72          14856.04         100
4194304             17270.09           1527.96          29784.46         100
8388608             34596.04           3059.41          59473.69         100
16777216            70204.17           6087.53         120203.60         100
33554432           140950.72          12343.34         240128.79         100
67108864           283389.21          24893.30         483308.41         100
