
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.73              3.54             19.63        1000
16                      8.76              3.54             19.74        1000
32                      8.68              3.54             19.63        1000
64                      8.69              3.52             19.69        1000
128                     9.03              3.60             20.59        1000
256                    12.80              6.30             23.09        1000
512                    13.11              6.32             23.57        1000
1024                   13.75              6.44             24.60        1000
2048                   15.88              6.61             28.13        1000
4096                   22.97              6.90             40.58        1000
8192                   43.58              9.80             70.18        1000
16384                  77.46             12.00            119.42         100
32768                 137.52             18.39            215.42         100
65536                 255.91             30.05            409.26         100
131072                491.30             49.84            806.51         100
262144                949.77             93.39           1543.96         100
524288               1881.91            170.69           3073.14         100
1048576              3818.66            339.86           6215.57         100
2097152              7790.33            675.27          12709.49         100
4194304             15764.13           1338.81          25690.67         100
8388608             31606.48           2669.29          51552.26         100
16777216            63547.32           5366.71         103571.64         100
33554432           128000.99          10851.98         208389.80         100
67108864           258308.95          22851.95         419348.09         100
