
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.95              3.36             19.85        1000
16                      8.63              3.39             19.60        1000
32                      8.59              3.44             19.49        1000
64                      8.64              3.44             19.63        1000
128                     8.96              3.52             20.47        1000
256                    12.79              6.21             23.17        1000
512                    13.11              6.28             23.66        1000
1024                   13.74              6.40             24.64        1000
2048                   15.80              6.56             28.15        1000
4096                   22.37              6.79             38.44        1000
8192                   43.67              9.78             70.26        1000
16384                  77.32             12.03            119.61         100
32768                 138.24             18.65            217.16         100
65536                 256.81             29.53            410.77         100
131072                495.51             51.25            802.44         100
262144                956.35             91.31           1552.08         100
524288               1884.20            170.97           3073.49         100
1048576              3812.81            338.26           6206.28         100
2097152              7773.39            676.79          12698.35         100
4194304             15733.36           1340.16          25640.78         100
8388608             31634.74           2691.11          51530.10         100
16777216            63610.20           5437.50         103546.57         100
33554432           128182.34          10953.37         208460.98         100
67108864           258324.83          22838.67         419346.26         100
