
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      13.21              0.94             17.73        1000
16                     13.22              0.96             17.78        1000
32                     13.17              0.95             17.72        1000
64                     13.23              0.94             17.79        1000
128                    13.96              0.96             19.23        1000
256                    17.44              4.63             21.55        1000
512                    17.88              4.95             22.10        1000
1024                   18.79              4.78             23.38        1000
2048                   21.61              5.02             28.04        1000
4096                   28.52              5.16             38.49        1000
8192                   54.23              7.17             72.37        1000
16384                  60.51              6.15            118.97         100
32768                 140.29              9.95            213.89         100
65536                 278.81             31.64            462.31         100
131072                544.32             57.81            915.97         100
262144               1076.45            106.31           1826.68         100
524288               2133.12            195.90           3659.47         100
1048576              4267.81            384.78           7338.94         100
2097152              8620.88            771.79          14861.11         100
4194304             17287.57           1528.84          29813.76         100
8388608             34695.83           3061.38          59358.43         100
16777216            70367.60           6152.99         120394.49         100
33554432           141129.16          12328.29         241525.62         100
67108864           283337.72          24960.98         485507.43         100
