
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      40.85
16                     53.18
32                     17.71
64                     19.64
128                    17.60
256                    25.28
512                    53.72
1024                   61.81
2048                   62.08
4096                  155.86
8192                  177.17
16384                 395.06
32768                 587.64
65536                 308.46
131072                345.77
262144               1014.82
524288                662.48
1048576              1450.14
2097152              3208.66
4194304              8009.59
8388608             15157.72
16777216            30835.91
33554432            58450.69
67108864           128804.28
