
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      20.72
16                     25.89
32                     25.56
64                     23.58
128                    80.30
256                    23.28
512                    65.20
1024                   69.94
2048                   68.03
4096                  170.17
8192                  163.76
16384                 151.67
32768                 246.45
65536                 205.18
131072                370.55
262144               1032.54
524288                665.29
1048576              2820.79
2097152              7849.31
4194304              6840.35
8388608             14579.05
16777216            29235.62
33554432            66762.21
67108864           119539.46
