
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      25.68
16                     35.74
32                     22.81
64                     18.86
128                    24.88
256                    33.99
512                    62.55
1024                   74.14
2048                   66.66
4096                  158.10
8192                  178.63
16384                 164.36
32768                 186.65
65536                 236.35
131072                437.27
262144                968.77
524288                566.94
1048576              1531.55
2097152              3070.05
4194304              6864.37
8388608             14897.05
16777216            30957.54
33554432            60644.81
67108864           121626.65
