
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.04
16                     20.11
32                     28.42
64                     22.13
128                    22.85
256                    31.27
512                    71.34
1024                   74.61
2048                   66.79
4096                  159.18
8192                  159.85
16384                 153.61
32768                 523.38
65536                 264.55
131072                412.09
262144                959.59
524288                549.96
1048576              1328.00
2097152              3396.70
4194304              7015.62
8388608             14140.96
16777216            31669.73
33554432            57556.29
67108864           115197.04
