
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      20.64
16                     38.70
32                     19.31
64                     19.31
128                    32.25
256                    23.78
512                    71.39
1024                   77.95
2048                   75.84
4096                  173.96
8192                  175.39
16384                 202.73
32768                 232.77
65536                 212.60
131072                483.81
262144                825.82
524288                584.24
1048576              1332.15
2097152              3187.42
4194304              6899.97
8388608             15291.74
16777216            31508.73
33554432            58294.68
67108864           120940.21
