
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.54
16                     22.64
32                     20.57
64                     29.70
128                    19.82
256                    28.83
512                    70.70
1024                   80.10
2048                   67.14
4096                  156.42
8192                  182.54
16384                 284.47
32768                 153.56
65536                 249.91
131072                447.87
262144                921.54
524288                931.87
1048576              1332.76
2097152              3243.53
4194304              7367.16
8388608             16774.64
16777216            29004.49
33554432            59730.24
67108864           115400.25
