
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      44.31
16                     21.62
32                     17.80
64                     28.71
128                    16.56
256                    34.13
512                    66.92
1024                   72.85
2048                   78.57
4096                  149.78
8192                  165.72
16384                 149.25
32768                 307.46
65536                 294.51
131072                379.71
262144                912.49
524288                471.03
1048576              1427.70
2097152              4243.92
4194304              8155.51
8388608             17025.31
16777216            26971.40
33554432            58439.40
67108864           111353.50
