
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      22.20
16                     29.02
32                     25.38
64                     18.02
128                    34.34
256                    21.45
512                    68.47
1024                   66.25
2048                   78.53
4096                  148.22
8192                  199.27
16384                 150.20
32768                 219.67
65536                 278.42
131072                351.45
262144                886.59
524288                533.24
1048576              1360.63
2097152              3306.26
4194304              7089.29
8388608             17409.76
16777216            33210.75
33554432            63933.92
67108864           119079.36
