
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.22
16                     17.67
32                     17.73
64                     22.30
128                    17.82
256                    27.15
512                    57.81
1024                   67.98
2048                   65.43
4096                  160.44
8192                  176.01
16384                 239.78
32768                 150.10
65536                 299.32
131072                395.77
262144               1009.14
524288                687.95
1048576              1583.13
2097152              3670.93
4194304              7628.22
8388608             15901.79
16777216            29526.06
33554432            58803.77
67108864           119065.76
