
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      17.68
16                     11.21
32                     18.13
64                     16.10
128                    18.55
256                    19.94
512                    34.14
1024                   36.80
2048                   58.95
4096                   57.07
8192                   52.08
16384                  54.07
32768                  72.43
65536                 110.15
131072                179.09
262144                316.25
524288                611.98
1048576              1168.25
2097152              2943.25
4194304              9607.57
8388608             19256.99
16777216            45758.89
33554432            76970.56
67108864           154018.44
