
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      15.47
16                     11.16
32                     15.47
64                     12.01
128                    16.31
256                    19.22
512                    36.91
1024                   36.60
2048                   57.95
4096                   55.45
8192                   54.44
16384                  55.92
32768                  75.27
65536                 107.03
131072                185.51
262144                314.26
524288                607.72
1048576              1164.07
2097152              2980.13
4194304              9863.75
8388608             21660.05
16777216            43573.83
33554432            78576.17
67108864           157037.67
