
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      14.24
16                     10.88
32                     13.57
64                     12.14
128                    21.85
256                    22.16
512                    37.33
1024                   36.93
2048                   58.57
4096                   57.90
8192                   53.12
16384                  52.89
32768                  73.35
65536                 108.96
131072                182.64
262144                316.22
524288                604.32
1048576              1165.34
2097152              2963.93
4194304              9890.21
8388608             21621.49
16777216            44010.77
33554432            79081.78
67108864           157993.72
