
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      19.86
16                     14.12
32                     19.71
64                     12.99
128                    19.20
256                    22.32
512                    35.39
1024                   36.81
2048                   57.79
4096                   56.93
8192                   53.50
16384                  56.71
32768                  81.27
65536                 115.93
131072                180.65
262144                318.73
524288                605.55
1048576              1167.52
2097152              2966.52
4194304              9811.05
8388608             21695.86
16777216            43565.09
33554432            78809.41
67108864           157245.68
