
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      20.76
16                     11.25
32                     18.27
64                     15.44
128                    15.86
256                    19.87
512                    36.13
1024                   37.26
2048                   58.71
4096                   56.72
8192                   52.61
16384                  52.43
32768                  72.96
65536                 107.13
131072                185.12
262144                312.56
524288                610.94
1048576              1175.95
2097152              2942.99
4194304              9611.25
8388608             19247.10
16777216            44520.32
33554432            76938.82
67108864           153881.05
