
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      18.04
16                     11.24
32                     16.01
64                     12.23
128                    20.19
256                    19.88
512                    36.92
1024                   37.40
2048                   58.93
4096                   55.74
8192                   54.63
16384                  54.63
32768                  74.70
65536                 108.32
131072                185.25
262144                315.12
524288                610.12
1048576              1173.91
2097152              2965.62
4194304              9626.83
8388608             19392.22
16777216            44224.70
33554432            77099.32
67108864           154114.03
