
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      18.61
16                     10.99
32                     19.91
64                     11.94
128                    20.46
256                    21.93
512                    33.54
1024                   36.27
2048                   58.53
4096                   56.88
8192                   53.60
16384                  57.67
32768                  76.60
65536                 106.41
131072                191.46
262144                315.03
524288                608.29
1048576              1177.53
2097152              2964.45
4194304              9812.95
8388608             21847.56
16777216            43396.66
33554432            78664.91
67108864           157269.09
