
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      14.74
16                     11.22
32                     12.87
64                     12.32
128                    19.32
256                    21.42
512                    34.62
1024                   37.41
2048                   58.97
4096                   57.03
8192                   51.18
16384                  52.77
32768                  73.14
65536                 106.11
131072                184.49
262144                313.55
524288                609.43
1048576              1176.09
2097152              2928.52
4194304              9609.75
8388608             19249.68
16777216            45169.27
33554432            76930.32
67108864           153831.56
