
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      17.88
16                     11.12
32                     14.99
64                     11.89
128                    16.46
256                    22.02
512                    34.31
1024                   37.15
2048                   58.67
4096                   55.62
8192                   52.07
16384                  54.39
32768                  73.85
65536                 106.53
131072                180.25
262144                315.51
524288                602.07
1048576              1174.64
2097152              2973.74
4194304              9792.62
8388608             21712.62
16777216            44396.74
33554432            78568.24
67108864           157136.96
