
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      16.47
16                     11.20
32                     15.04
64                     11.99
128                    18.38
256                    19.83
512                    37.55
1024                   36.27
2048                   58.86
4096                   54.86
8192                   52.91
16384                  57.13
32768                  76.45
65536                 106.52
131072                176.03
262144                313.13
524288                607.66
1048576              1164.41
2097152              2961.24
4194304              9840.02
8388608             19914.90
16777216            43801.52
33554432            79142.52
67108864           158451.62
