
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      15.41
16                     11.39
32                     13.80
64                     18.40
128                    15.80
256                    22.61
512                    35.71
1024                   37.80
2048                   58.63
4096                   57.15
8192                   52.39
16384                  52.31
32768                  72.66
65536                 109.20
131072                180.00
262144                313.97
524288                611.72
1048576              1175.06
2097152              2953.01
4194304              9605.36
8388608             19265.68
16777216            44012.96
33554432            77045.75
67108864           154196.86
