
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      12.42
16                     10.98
32                     11.03
64                     13.56
128                    15.67
256                    19.29
512                    35.70
1024                   36.63
2048                   57.70
4096                   56.13
8192                   54.93
16384                  57.01
32768                  76.61
65536                 111.71
131072                178.93
262144                315.50
524288                620.97
1048576              1164.24
2097152              3013.38
4194304              9804.67
8388608             21510.52
16777216            43223.74
33554432            78649.33
67108864           157303.29
