
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      12.49
16                     11.22
32                     18.61
64                     15.88
128                    18.96
256                    19.81
512                    36.23
1024                   37.78
2048                   59.11
4096                   55.71
8192                   52.29
16384                  53.59
32768                  72.80
65536                 106.40
131072                187.27
262144                313.07
524288                612.53
1048576              1151.38
2097152              2948.15
4194304              9599.58
8388608             19251.87
16777216            44587.51
33554432            76964.75
67108864           153919.72
