
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      13.45
16                     11.16
32                     20.25
64                     17.14
128                    18.81
256                    21.31
512                    36.48
1024                   37.61
2048                   59.51
4096                   56.61
8192                   51.50
16384                  54.02
32768                  73.02
65536                 109.96
131072                184.83
262144                314.10
524288                611.67
1048576              1177.17
2097152              2951.91
4194304              9604.07
8388608             19239.19
16777216            45759.65
33554432            76929.34
67108864           153836.16
