
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      17.66
16                     15.31
32                     14.66
64                     12.24
128                    18.63
256                    21.33
512                    34.14
1024                   37.53
2048                   58.37
4096                   55.81
8192                   53.17
16384                  52.58
32768                  72.86
65536                 107.25
131072                179.59
262144                313.92
524288                609.07
1048576              1174.77
2097152              2950.55
4194304              9622.36
8388608             19290.77
16777216            45062.48
33554432            77036.35
67108864           154108.20
