
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      19.08
16                     11.33
32                     15.61
64                     12.17
128                    19.85
256                    19.32
512                    36.65
1024                   36.72
2048                   57.77
4096                   58.21
8192                   52.09
16384                  53.57
32768                  75.57
65536                 107.51
131072                184.83
262144                313.29
524288                605.33
1048576              1168.24
2097152              3022.61
4194304              9906.22
8388608             19900.16
16777216            43791.47
33554432            79107.36
67108864           158123.02
