
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      15.88
16                     11.58
32                     13.99
64                     12.08
128                    17.52
256                    19.36
512                    35.50
1024                   36.47
2048                   57.76
4096                   56.89
8192                   54.68
16384                  54.76
32768                  75.07
65536                 107.42
131072                182.94
262144                319.04
524288                606.10
1048576              1195.34
2097152              2952.47
4194304              9878.46
8388608             19879.72
16777216            44228.98
33554432            78951.18
67108864           158063.16
