
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      15.55
16                     11.24
32                     21.16
64                     18.22
128                    19.31
256                    22.08
512                    33.92
1024                   37.56
2048                   58.96
4096                   57.01
8192                   51.56
16384                  54.23
32768                  72.94
65536                 106.94
131072                176.70
262144                323.14
524288                595.43
1048576              1175.06
2097152              2945.71
4194304              9615.05
8388608             19270.19
16777216            46478.39
33554432            77109.06
67108864           154101.40
