
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.19
16                      3.19
32                      3.39
64                      3.38
128                     3.48
256                     3.69
512                     9.42
1024                   10.20
2048                   11.65
4096                   14.75
8192                   20.41
16384                  32.78
32768                  51.47
65536                  76.85
131072                161.05
262144                102.44
524288                188.33
1048576               501.78
2097152              1774.92
4194304              4640.98
8388608             10845.92
16777216            23537.31
33554432            51881.09
67108864           106754.63
