
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.01
16                      4.24
32                      4.33
64                      4.43
128                     4.62
256                     4.94
512                     8.51
1024                    9.42
2048                   10.13
4096                   11.45
8192                   14.77
16384                  20.31
32768                  31.44
65536                  37.76
131072                 54.60
262144                 94.03
524288                186.74
1048576               468.80
2097152              1631.20
4194304              4508.94
8388608             10460.55
16777216            22749.17
33554432            47456.82
67108864            95924.15
