
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.95
16                      4.39
32                      4.22
64                      4.47
128                     4.62
256                     4.99
512                     8.66
1024                    9.22
2048                   10.19
4096                   12.03
8192                   14.99
16384                  20.55
32768                  30.59
65536                  37.57
131072                 54.83
262144                 92.68
524288                179.06
1048576               467.49
2097152              1630.50
4194304              4473.31
8388608             10455.30
16777216            22510.70
33554432            47644.20
67108864            96105.80
