
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.86
16                      3.33
32                      3.41
64                      3.24
128                     3.43
256                     3.63
512                     9.31
1024                   10.35
2048                   11.74
4096                   14.61
8192                   20.75
16384                  32.67
32768                  73.70
65536                 126.61
131072                175.92
262144                 96.49
524288                184.57
1048576               484.51
2097152              1672.42
4194304              4550.01
8388608             10739.10
16777216            23013.11
33554432            51262.86
67108864           104237.87
