
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.84
16                      3.20
32                      3.23
64                      3.24
128                     3.48
256                     3.73
512                     9.37
1024                   10.10
2048                   11.68
4096                   14.50
8192                   20.62
16384                  32.14
32768                  52.70
65536                  77.73
131072                134.26
262144                 98.89
524288                189.38
1048576               499.53
2097152              1687.66
4194304              4539.88
8388608             10702.53
16777216            23203.75
33554432            50874.19
67108864           104243.36
