
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.96
16                      4.32
32                      4.65
64                      4.45
128                     4.71
256                     4.99
512                     8.61
1024                    9.25
2048                   10.18
4096                   11.72
8192                   14.90
16384                  20.65
32768                  31.38
65536                  37.13
131072                 54.17
262144                 92.48
524288                180.44
1048576               471.53
2097152              1646.31
4194304              4465.26
8388608             10475.43
16777216            22629.48
33554432            47539.10
67108864            96203.63
