
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.84
16                      3.20
32                      3.24
64                      3.26
128                     3.42
256                     3.69
512                     9.48
1024                   10.41
2048                   11.97
4096                   14.86
8192                   20.56
16384                  32.55
32768                  52.00
65536                  76.82
131072                132.05
262144                 97.29
524288                184.09
1048576               481.43
2097152              1689.27
4194304              4526.00
8388608             10709.43
16777216            23046.48
33554432            50833.93
67108864           104426.97
