
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.83
16                      3.24
32                      3.17
64                      3.29
128                     3.43
256                     3.71
512                     9.46
1024                   10.17
2048                   11.71
4096                   14.66
8192                   20.60
16384                  32.29
32768                  52.36
65536                  76.62
131072                131.29
262144                 98.00
524288                188.96
1048576               490.57
2097152              1658.07
4194304              4549.17
8388608             10677.26
16777216            23169.11
33554432            51270.35
67108864           105180.76
