
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.07
16                      4.20
32                      4.27
64                      4.38
128                     4.67
256                     4.84
512                     8.69
1024                    9.47
2048                   10.24
4096                   11.73
8192                   14.95
16384                  21.03
32768                  31.08
65536                  38.40
131072                 53.73
262144                 91.62
524288                179.54
1048576               472.12
2097152              1642.70
4194304              4464.74
8388608             10396.52
16777216            22702.63
33554432            47367.65
67108864            96334.97
