
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.94
16                      4.24
32                      4.41
64                      4.49
128                     4.64
256                     5.03
512                     8.72
1024                   11.25
2048                   10.28
4096                   11.70
8192                   15.03
16384                  20.68
32768                  31.64
65536                  36.91
131072                 54.81
262144                 92.08
524288                182.93
1048576               472.86
2097152              1647.89
4194304              4457.78
8388608             10480.85
16777216            22607.56
33554432            47488.75
67108864            96511.00
