
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.00
16                      3.25
32                      3.25
64                      3.32
128                     3.51
256                     3.73
512                     9.23
1024                   10.06
2048                   11.83
4096                   14.49
8192                   20.50
16384                  31.97
32768                  51.94
65536                  78.09
131072                133.74
262144                 98.20
524288                185.35
1048576               492.83
2097152              1667.78
4194304              4564.07
8388608             10690.34
16777216            23499.27
33554432            51299.45
67108864           104834.28
