
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.94
16                      4.21
32                      4.38
64                      4.53
128                     4.62
256                     5.02
512                     8.54
1024                    9.33
2048                   10.03
4096                   11.81
8192                   14.82
16384                  21.23
32768                  30.90
65536                  37.35
131072                 53.95
262144                 93.89
524288                185.40
1048576               477.23
2097152              1665.26
4194304              4468.19
8388608             10425.22
16777216            22592.56
33554432            47544.25
67108864            96329.03
