
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.05
16                      4.32
32                      4.22
64                      4.55
128                     4.63
256                     4.88
512                     8.47
1024                    9.12
2048                   10.08
4096                   11.64
8192                   14.73
16384                  21.34
32768                  31.29
65536                  37.63
131072                 55.86
262144                 92.81
524288                185.99
1048576               470.69
2097152              1650.24
4194304              4463.12
8388608             10475.96
16777216            22625.39
33554432            47454.77
67108864            96437.73
