
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.02
16                      4.23
32                      4.35
64                      4.45
128                     4.63
256                     4.90
512                     8.52
1024                    9.22
2048                    9.92
4096                   11.67
8192                   15.06
16384                  20.80
32768                  30.97
65536                  37.42
131072                 56.02
262144                 92.66
524288                185.72
1048576               472.34
2097152              1679.89
4194304              4493.28
8388608             10464.72
16777216            22658.93
33554432            47348.22
67108864            96082.97
