
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.73
16                      5.69
32                      4.75
64                      5.96
128                     5.88
256                     7.67
512                     9.25
1024                   14.65
2048                   21.01
4096                   35.85
8192                   67.75
16384                 138.80
32768                 282.57
65536                 567.77
131072               1146.45
262144               2314.22
524288               4778.96
1048576              9106.09
2097152             19054.70
4194304             38071.46
8388608             76150.87
16777216           152862.50
33554432           305766.67
67108864           612213.10
