
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.38
16                     19.08
32                     19.85
64                     18.90
128                    19.30
256                    19.16
512                    22.00
1024                   24.70
2048                   30.22
4096                   37.91
8192                   41.97
16384                  50.75
32768                  66.46
65536                 101.55
131072                169.88
262144                328.54
524288                635.41
1048576              1183.99
2097152              3791.79
4194304             13992.20
8388608             35248.23
16777216            66415.49
33554432           128885.91
67108864           248877.22
