
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.74
16                     18.88
32                     20.80
64                     18.55
128                    20.03
256                    18.94
512                    22.80
1024                   24.60
2048                   29.57
4096                   38.53
8192                   43.31
16384                  51.47
32768                  66.58
65536                 100.81
131072                167.35
262144                323.60
524288                610.58
1048576              1162.87
2097152              3838.42
4194304             13960.62
8388608             35173.15
16777216            66353.04
33554432           129363.74
67108864           249249.53
