
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.63
16                      4.69
32                      5.07
64                      4.96
128                     5.67
256                     6.05
512                     9.13
1024                   14.23
2048                   21.05
4096                   36.48
8192                   67.43
16384                 138.44
32768                 281.21
65536                 564.18
131072               1137.73
262144               2290.62
524288               4687.56
1048576              9612.75
2097152             19247.88
4194304             37776.67
8388608             75502.12
16777216           150826.33
33554432           301687.45
67108864           603949.50
