
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.16
16                     18.54
32                     18.38
64                     18.40
128                    17.91
256                    18.63
512                    21.38
1024                   23.91
2048                   28.91
4096                   38.30
8192                   42.81
16384                  50.48
32768                  66.22
65536                 102.38
131072                170.06
262144                329.15
524288                635.48
1048576              1190.17
2097152              3776.04
4194304             13996.32
8388608             35212.31
16777216            66470.21
33554432           128767.37
67108864           249162.38
