
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.48
16                      4.80
32                      4.78
64                      4.95
128                     5.56
256                     5.90
512                     9.07
1024                   14.25
2048                   21.14
4096                   35.97
8192                   67.54
16384                 139.02
32768                 281.49
65536                 565.37
131072               1140.70
262144               2372.43
524288               4520.72
1048576              8949.05
2097152             18847.43
4194304             38180.95
8388608             76175.72
16777216           152327.94
33554432           304954.88
67108864           610136.95
