
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      22.40
16                     20.03
32                     20.73
64                     19.70
128                    20.03
256                    20.15
512                    22.83
1024                   25.95
2048                   30.73
4096                   39.01
8192                   43.14
16384                  55.66
32768                  71.16
65536                 100.95
131072                176.50
262144                336.34
524288                615.41
1048576              1142.63
2097152              3840.53
4194304             13955.24
8388608             35128.49
16777216            66292.30
33554432           129195.84
67108864           249204.24
