
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.62
16                      5.20
32                      4.99
64                      4.91
128                     6.53
256                     5.93
512                     9.95
1024                   15.13
2048                   21.69
4096                   36.76
8192                   68.69
16384                 141.15
32768                 285.50
65536                 576.13
131072               1153.18
262144               2421.70
524288               4764.97
1048576              8993.14
2097152             19334.70
4194304             38621.31
8388608             76924.95
16777216           153747.36
33554432           307603.87
67108864           615746.77
