
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.40
16                     20.26
32                     20.29
64                     20.03
128                    19.85
256                    20.25
512                    22.32
1024                   24.83
2048                   29.30
4096                   38.39
8192                   44.02
16384                  52.98
32768                  71.43
65536                 101.61
131072                174.85
262144                331.25
524288                620.12
1048576              1161.61
2097152              3832.65
4194304             14019.10
8388608             35341.56
16777216            66370.64
33554432           128886.48
67108864           249006.31
