
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.15
16                     18.84
32                     19.61
64                     18.79
128                    20.09
256                    19.44
512                    22.10
1024                   24.28
2048                   29.70
4096                   37.73
8192                   41.98
16384                  50.54
32768                  66.09
65536                 101.08
131072                170.60
262144                330.50
524288                631.59
1048576              1189.88
2097152              3872.30
4194304             13941.09
8388608             35198.33
16777216            66460.59
33554432           129040.45
67108864           248915.29
