
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.69
16                      4.72
32                      4.87
64                      4.91
128                     5.54
256                     5.96
512                     9.39
1024                   15.21
2048                   21.79
4096                   36.44
8192                   68.10
16384                 139.68
32768                 284.48
65536                 570.20
131072               1155.90
262144               2273.71
524288               4643.82
1048576              9198.14
2097152             19363.25
4194304             38162.80
8388608             76084.46
16777216           152362.87
33554432           304618.80
67108864           609602.50
